Fecha y Hora;Candidato;Cantidad
2023-10-08T20:39:00;Javier Milei;8
2023-10-08T20:40:00;Javier Milei;11
2023-10-08T20:41:00;Javier Milei;8
2023-10-08T20:42:00;Javier Milei;8
2023-10-08T20:43:00;Javier Milei;11
2023-10-08T20:44:00;Javier Milei;7
2023-10-08T20:45:00;Javier Milei;5
2023-10-08T20:46:00;Javier Milei;7
2023-10-08T20:47:00;Javier Milei;4
2023-10-08T20:48:00;Javier Milei;4
2023-10-08T20:49:00;Javier Milei;8
2023-10-08T20:50:00;Javier Milei;10
2023-10-08T20:51:00;Javier Milei;11
2023-10-08T20:52:00;Javier Milei;12
2023-10-08T20:53:00;Javier Milei;8
2023-10-08T20:54:00;Javier Milei;8
2023-10-08T20:55:00;Javier Milei;7
2023-10-08T20:56:00;Javier Milei;12
2023-10-08T20:57:00;Javier Milei;12
2023-10-08T20:58:00;Javier Milei;8
2023-10-08T20:59:00;Javier Milei;11
2023-10-08T21:00:00;Javier Milei;10
2023-10-08T21:01:00;Javier Milei;8
2023-10-08T21:02:00;Javier Milei;9
2023-10-08T21:03:00;Javier Milei;9
2023-10-08T21:04:00;Javier Milei;8
2023-10-08T21:05:00;Javier Milei;15
2023-10-08T21:06:00;Javier Milei;20
2023-10-08T21:07:00;Javier Milei;12
2023-10-08T21:08:00;Javier Milei;15
2023-10-08T21:09:00;Javier Milei;11
2023-10-08T21:10:00;Javier Milei;10
2023-10-08T21:11:00;Javier Milei;14
2023-10-08T21:12:00;Javier Milei;9
2023-10-08T21:13:00;Javier Milei;8
2023-10-08T21:14:00;Javier Milei;10
2023-10-08T21:15:00;Javier Milei;7
2023-10-08T21:16:00;Javier Milei;13
2023-10-08T21:17:00;Javier Milei;15
2023-10-08T21:18:00;Javier Milei;9
2023-10-08T21:19:00;Javier Milei;11
2023-10-08T21:20:00;Javier Milei;11
2023-10-08T21:21:00;Javier Milei;14
2023-10-08T21:22:00;Javier Milei;10
2023-10-08T21:23:00;Javier Milei;11
2023-10-08T21:24:00;Javier Milei;8
2023-10-08T21:25:00;Javier Milei;12
2023-10-08T21:26:00;Javier Milei;16
2023-10-08T21:27:00;Javier Milei;32
2023-10-08T21:28:00;Javier Milei;36
2023-10-08T21:29:00;Javier Milei;48
2023-10-08T21:30:00;Javier Milei;48
2023-10-08T21:31:00;Javier Milei;35
2023-10-08T21:32:00;Javier Milei;30
2023-10-08T21:33:00;Javier Milei;25
2023-10-08T21:34:00;Javier Milei;22
2023-10-08T21:35:00;Javier Milei;24
2023-10-08T21:36:00;Javier Milei;17
2023-10-08T21:37:00;Javier Milei;14
2023-10-08T21:38:00;Javier Milei;16
2023-10-08T21:39:00;Javier Milei;11
2023-10-08T21:40:00;Javier Milei;12
2023-10-08T21:41:00;Javier Milei;17
2023-10-08T21:42:00;Javier Milei;18
2023-10-08T21:43:00;Javier Milei;15
2023-10-08T21:44:00;Javier Milei;13
2023-10-08T21:45:00;Javier Milei;16
2023-10-08T21:46:00;Javier Milei;14
2023-10-08T21:47:00;Javier Milei;26
2023-10-08T21:48:00;Javier Milei;43
2023-10-08T21:49:00;Javier Milei;28
2023-10-08T21:50:00;Javier Milei;20
2023-10-08T21:51:00;Javier Milei;24
